,描述,位置信息,区域,房屋信息,关注信息,总价,单价,type,area,Direction,decoration,Floor,Others,Floorh,Floorb,1室1厅 ,1室2厅 ,2室1厅 ,2室2厅 ,3室1厅 ,3室2厅 ,4室1厅 ,4室2厅 ,5室2厅 ,5室3厅 ,6室3厅 , 东 , 东 东南 , 东 西 , 东北 , 东南 , 东南 西北 , 南 , 南 北 , 西 , 西北 , 西南 , 其他 , 毛坯 , 简装 , 精装 , 3层  , 中楼层, 低楼层, 高楼层
0,嘉裕第六洲龙泽台 4室2厅 280万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 223.73平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 31天以前发布,280.0,12516.0,4室2厅 , 223.73平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9.0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2,前后中庭 中间楼层 清水房 套三,西蜀御景二期 ,崇州,3室2厅 | 128.7平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 8个月以前发布,90.0,6994.0,3室2厅 , 128.7平米 , 东南 , 毛坯 , 高楼层(共18层)  , 塔楼, 高楼层,18.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
3,嘉裕第六洲龙泽台 3室2厅 120万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 106.8平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,120.0,11236.0,3室2厅 , 106.8平米 , 南 , 其他 , 低楼层(共7层)  , 暂无数据, 低楼层,7.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
4,嘉裕龙泽台清水套三 户型方正 对小区中庭,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,4人关注 / 14天以前发布,89.0,7120.0,3室2厅 , 125平米 , 东南 , 毛坯 , 中楼层(共7层)  , 板楼, 中楼层,7.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
5,嘉裕第六洲龙泽台 4室2厅 220万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 225.51平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,220.0,9756.0,4室2厅 , 225.51平米 , 东南 , 毛坯 , 低楼层(共6层)  , 暂无数据, 低楼层,6.0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6,花园洋房  高铁围绕 二绕及成温邛高速出入口,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 222.88平米 | 东南 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,235.0,10544.0,4室2厅 , 222.88平米 , 东南 , 其他 , 低楼层(共8层)  , 暂无数据, 低楼层,8.0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
7,嘉裕第六洲龙泽台 3室1厅 230万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 225.39平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,230.0,10205.0,3室1厅 , 225.39平米 , 东南 , 其他 , 低楼层(共7层)  , 暂无数据, 低楼层,7.0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
9,嘉裕第六洲龙泽台 3室1厅 120万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 126.05平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,120.0,9521.0,3室1厅 , 126.05平米 , 东南 , 其他 , 中楼层(共7层)  , 暂无数据, 中楼层,7.0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
10,嘉裕第六洲龙泽台 3室2厅 150万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.11平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,150.0,11895.0,3室2厅 , 126.11平米 , 南 , 毛坯 , 中楼层(共7层)  , 暂无数据, 中楼层,7.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
11,套三双卫 花园洋房  高铁  双高速出入口,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.28平米 | 东南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,105.0,8382.0,3室2厅 , 125.28平米 , 东南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
12,崇州新城羊马湿地公园花园洋房，现房随买随装修,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 西南 | 其他 | 低楼层(共9层)  | 板楼,3人关注 / 1个月以前发布,91.0,7280.0,3室2厅 , 125平米 , 西南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9.0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
